Label,link
Goyle Sr,Goyle
Gregory Goyle,Gregory_Goyle
Hermione Granger,Hermione_Granger
Gregorovitch,Gregorovitch
Fenrir Greyback,Fenrir_Greyback
Gellert Grindelwald,Gellert_Grindelwald
Wilhelmina Grubbly-Plank,Wilhelmina_Grubbly-Plank
Godric Gryffindor,Godric_Gryffindor
Rubeus Hagrid,Rubeus_Hagrid
Rolanda Hooch,Rolanda_Hooch
Helga Hufflepuff,Helga_Hufflepuff
Angelina Johnson,Angelina_Johnson
Lee Jordan,Lee_Jordan
Igor Karkaroff,Igor_Karkaroff
Viktor Krum,Viktor_Krum
Bellatrix Lestrange,Bellatrix_Lestrange
Rabastan Lestrange,Rabastan_Lestrange
Rodolphus Lestrange,Rodolphus_Lestrange
Gilderoy Lockhart,Gilderoy_Lockhart
Alice Longbottom,Alice_Longbottom
Augusta Longbottom,Augusta_Longbottom
Frank Longbottom,Frank_Longbottom
Neville Longbottom,Neville_Longbottom
Luna Lovegood,Luna_Lovegood
Xenophilius Lovegood,Xenophilius_Lovegood
Remus Lupin,Remus_Lupin
Teddy Lupin,Teddy_Lupin
Draco Malfoy,Draco_Malfoy
Lucius Malfoy,Lucius_Malfoy
Narcissa Malfoy,Narcissa_Malfoy
Olympe Maxime,Olympe_Maxime
Ernie Macmillan,Ernest_Macmillan
Minerva McGonagall,Minerva_McGonagall
Cormac McLaggen,Cormac_McLaggen
"Alaster ""Mad-Eye"" Moody",Alastor_Moody
Theodore Nott,Theodore_Nott
Bob Ogden,Bob_Ogden
Tiberius Ogden,Tiberius_Ogden
Garrick Ollivander,Garrick_Ollivander
Pansy Parkinson,Pansy_Parkinson
Padma Patil,Padma_Patil
Parvati Patil,Parvati_Patil
Peter Pettigrew,Peter_Pettigrew
Antioch Peverell,Antioch_Peverell
Cadmus Peverell,Cadmus_Peverell
Ignotus Peverell,Ignotus_Peverell
Irma Pince,Irma_Pince
Sturgis Podmore,Sturgis_Podmore
Poppy Pomfrey,Poppy_Pomfrey
Harry Potter,Harry_Potter
James Potter,James_Potter_I
Lily Potter,Lily_Potter
Quirinus Quirrell,Quirinus_Quirrell
Helena Ravenclaw,Helena_Ravenclaw
Rowena Ravenclaw,Rowena
Mary Riddle,Mary_Riddle
Thomas Riddle,Thomas_Riddle
Tom Riddle Sr.,Tom_Riddle_Sr.
Lord Voldemort,Lord_Voldemort
Augustus Rookwood,Augustus_Rookwood
Newt Scamander,Newt_Scamander
Rufus Scrimgeour,Rufus_Scrimgeour
Kingsley Shacklebolt,Kingsley_Shacklebolt
Stan Shunpike,Stan_Shunpike
Rita Skeeter,Rita_Skeeter
Horace Slughorn,Horace_Slughorn
Salazar Slytherin,Salazar_Slytherin
Hepzibah Smith,Hepzibah_Smith
Zacharias Smith,Zacharias_Smith
Severus Snape,Severus_Snape
Alicia Spinnet,Alicia_Spinnet
Pomona Sprout,Pomona_Sprout
Pius Thicknesse,Pius_Thicknesse
Dean Thomas,Dean_Thomas
Andromeda Tonks,Andromeda_Tonks
Nymphadora Tonks,Nymphadora_Tonks
Ted Tonks,Ted_Tonks
Sybill Trelawney,Sybill_Trelawney
Dolores Umbridge,Dolores_Umbridge
Emmeline Vance,Emmeline_Vance
Romilda Vane,Romilda_Vane
Septima Vector,Septima_Vector
Arthur Weasley,Arthur_Weasley
Bill Weasley,Bill_Weasley
Charlie Weasley,Charlie_Weasley
Fred Weasley,Fred_Weasley
George Weasley,George_Weasley
Ginny Weasley,Ginny_Weasley
Molly Weasley,Molly_Weasley
Percy Weasley,Percy_Weasley
Ron Weasley,Ron_Weasley
Oliver Wood,Oliver_Wood
Blaise Zabini,Blaise_Zabini
Aragog,Aragog
Bane,Bane
Bloody Baron,Bloody_Baron
Buckbeak,Buckbeak
Sir Cadogan,Sir_Cadogan
Crookshanks,Crookshanks
Dobby,Dobby
Fang,Fang
Fat Friar,Fat_Friar
Fat Lady,Fat_Lady
Fawkes,Fawkes
Firenze,Firenze
Fluffy,Fluffy
Grawp,Grawp
Griphook,Griphook
Hedwig,Hedwig
Kreacher,Kreacher
Moaning Myrtle,Moaning_Myrtle
Mrs. Norris,Norris
Nagini,Nagini
Nicholas de Mimsy-Porpington,Nicholas_de_Mimsy-Porpington
Norbert,Norbert
Peeves,Peeves
Madam Rosmerta,Madam_Rosmerta
Scabbers,Scabbers
Trevor,Trevor
Winky,Winky
Wormtail,Wormtail
